aufnahme,dauer_s,rms_mean,rms_cv,f0_mean_Hz,f0_std_Hz,voiced_ratio,silence_ratio,pausen_anzahl,pause_mean_s,pause_p95_s,syl_proxy_s,tempo_BPM_proxy,jitter_proxy,shimmer_proxy,Activation,Ruhegrad,Spannung,Fluency,Durchsetzung,Engagement,Dissonanz
WhatsApp Audio 2025-09-03 at 01.24.07,12.65,0.0146,1.323,84.1,11.4,0.249,0.46,5,0.73,1.63,3.71,74.0,0.033,0.161,hoch,niedrig,mittel,niedrig,niedrig,mittel,hoch
WhatsApp Audio 2025-09-03 at 01.33.47,42.09,0.0515,0.867,74.9,14.7,0.425,0.168,17,0.22,0.69,4.49,94.0,0.034,0.123,hoch,hoch,niedrig,niedrig,hoch,hoch,mittel
